Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
China	CHN	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																							35.46244776	34.4170822	35.68411573	36.3490954	36.30518222	38.67223382	39.08466094	37.16405935	38.34190505	40.02116949	41.77711141	42.99914952	42.9549261	41.04784658	40.51852523	39.67999067	39.80041116	37.91366471	36.9053651	38.8036685	40.24081582	44.29063538	47.25956793	48.20456683	50.5920138	51.84850706	51.59647571	51.18876784	51.71836377	49.93305383	49.86711755	49.33111097	49.59357495	48.57642187	46.23855895	
Cote d'Ivoire	CIV	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																														13.81729417	13.83740027	12.52135968	14.48469678	15.98519882	15.89399693	15.81008754	14.61390038	18.56597301	28.06184687	28.79103508		
Cameroon	CMR	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																		5.309147753	19.96062633	16.52743539	6.262232132	11.71248659	24.38371373	22.5896167	25.51014359	24.16315199	24.14603838	18.91461032	19.80435544	18.10910954	16.88885687	16.46310606	11.74303272	13.96255713	17.83375489	19.3882649	16.93591518	16.8423844	19.24966172	17.79759017	17.15302603	15.46686166	15.09320915	15.686937	20.00271045	19.30680862	20.86438269	20.32281091	21.27886579	19.41471733	18.15804587	19.11386691	18.27511081	17.95084993	19.22583365	16.89712177		
"Congo, Dem. Rep."	COD	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																														11.11317314	10.94200109	9.032160106	3.822410743		11.14996139	13.08608325	16.08672461	9.436775329	11.33672576	10.26474578	9.965824684	
"Congo, Rep."	COG	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																			8.668604873	19.41647636	28.85473621	26.54070306	41.93653112	39.40034188	42.97420331	26.55440367	18.0406979	24.58505426	6.209758237	17.20942908	38.27145251	21.018056	37.11212899	26.17118174	33.65575839	-3.978156908	-0.362140006	12.96669616	7.947768449	15.18877482	43.24249013	28.88270469	31.43810997	5.560985018	29.05425596	25.03701151	8.898975422	22.68102596	27.63078842	21.71844887	36.05323833	39.93151368	35.02485918	25.64794233	32.80019825			
Colombia	COL	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS									19.54622764	18.44955444	16.82405	13.6153127	15.57829208	17.55748925	19.63771481	17.08169478	19.3686827	21.37397787	20.28438856	19.48815543	19.67975414	16.70372046	14.07735025	14.49618876	15.75391665	17.59056047	24.11797508	22.23387908	22.41851734	20.90981427	22.80816948	24.13112516	18.77713005	18.2679779	19.49504854	18.84695308	15.44539542	13.76139584	13.04232978	13.5937709	13.87411763	13.15886544	14.30801073	15.94124525	17.43419596	18.1313175	19.5896684	19.23830993	20.12244643	19.28176838	18.74152076	20.51376989	20.13797063	20.04723131	19.38404398	18.88697819	19.48650661	
Comoros	COM	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																					-0.359955674	10.9757556	9.458980542	12.10829094	24.48002431	26.35323501	15.98472547	17.77676127	18.3373164	15.52480591	14.42355979	11.44978737	14.88486878	22.70320047	17.2687281	11.23714089								5.859939375	5.266350895	3.992732681	5.804208847	4.22471466	6.654731014	9.345597925	6.818127394	6.622789176	10.52483535					
Cabo Verde	CPV	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																38.21037023	38.32201173	34.29701132	36.18608243	35.42012419	29.48305579	29.66032252	27.297523			
Costa Rica	CRI	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																		17.16949966	13.29395454	12.08452628	12.62564775	16.06318604	15.9602964	9.053494523	11.95543397	11.50426924	14.64770708	15.02843271	15.19904402	11.53132153	12.00611291	13.89523497	15.12240363	13.40793881	15.28069032	15.71938701	13.777024	15.16483408	16.63687129	7.52351909	16.41990861	17.30136575	14.98585412	14.03640816	15.47971614	14.60024697	16.87936724	17.70393368	15.7428567	16.28320776	16.164679	14.04491159	14.839612	13.5894759	13.66099235	15.49926507	15.87062489	
Caribbean small states	CSS	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	21.20117747	21.6380257	23.73171236	22.86397559	28.25049489	24.47482283	16.23323114	14.08677678	15.59979545	19.67868023	15.72326176	17.19382408		21.2569603	21.72985511	17.90746987	22.1183698	20.24026813	23.66167263	25.76219766	26.93501506	20.27420531					19.80330848	24.27386202	24.91066835	29.95374238	33.32847833	27.18560533	23.88632878	21.71049714	23.49912828	21.26109387	20.42559796	23.8426434	24.48898469	19.37425474		
Cuba	CUB	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Curacao	CUW	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Cayman Islands	CYM	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Cyprus	CYP	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	22.46664604	24.35900225	22.71143094	24.28516084	23.29329505	23.6064338	21.62413895	19.01392151	22.37977415	21.40542152	25.98254156	26.44997508	25.89652305	26.15679073	24.92494734	19.07713638	20.218483	26.43114681	27.48471255	24.83543618	22.84428773	21.08185103	26.38007215	21.18085889	20.75636312	20.13323129	21.3021615	20.76146008	20.61652939	19.86372959	19.77366148	18.38664532	14.37175714	15.58030802	12.8791539	14.70599523	10.38761524	8.619365136	8.236823741	12.70479294	11.6358092	
Czech Republic	CZE	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																		27.50533969	28.5927763	30.81085302	30.16304291	27.62771588	29.77334264	28.2368183	28.65641049	28.9001398	27.24996742	25.68540788	26.67594439	27.56988895	27.77417691	29.30118214	28.1213864	24.40228297	24.07109435	24.63562684	25.71045313	25.75143449	27.15202871	28.67236031	28.29499777	
Germany	DEU	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS												29.41447333	28.15744624	27.43232524	25.17104803	21.99140115	22.44552426	22.16637792	23.04664241	23.0250245	21.78588633	19.69327036	19.44572285	20.23837809	20.33714208	20.6069826	22.254795	21.55414761	22.57151699	23.36218711	24.42483758	23.82666591	23.54179769	22.39173669	22.38624934	22.50093172	22.01788359	22.26263526	22.70035102	22.23231227	22.25229503	22.08108725	22.03511597	21.24422094	23.37355203	23.17169734	25.01477959	27.12365166	26.21616422	23.29671929	24.74384789	26.53416993	25.72311753	25.60777468	26.48541896	27.16876491	27.13333408	
Djibouti	DJI	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																33.33880968	26.61529945	31.43583608	21.6936379	23.22925546	22.22576563	19.69683723	20.30327151	21.09385872	14.41987947	19.4864847	21.32410966	28.83142583	22.18891759	25.90948651												
Dominica	DMA	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Denmark	DNK	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																21.94212584	21.75081018	22.35026235	22.71504126	21.32735041	19.0559553	16.37522541	16.49868123	18.16385982	19.97815495	20.18367569	21.33749878	22.2948799	22.51266384	22.86368201	24.05729307	23.06119552	23.47266662	23.18707579	22.77824497	23.86744779	23.96183206	24.63439006	24.07741834	24.72299346	25.70556125	26.37719364	25.62939179	25.6371368	26.00810418	26.19684292	27.31529377	26.60711903	26.59177994	22.34355108	24.23115597	25.18413848	25.17329239	26.60945744	27.83484073	28.07250757	27.63570019	
Dominican Republic	DOM	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS									6.508205999	9.475689555	13.33830014	10.65913597	18.07104095	19.81368922	13.0940967	23.25503757	18.2977218	19.26344895	19.93125707	23.47240194	15.76201206	18.79723021	14.91459235	16.79179189	16.36166684	10.01710235	11.81819162	13.60929264	17.46779611	19.3925085	16.81367227	14.60314517	11.60226024	15.49696858	17.21315483	16.28963052	18.1495773	18.29140803	22.00461308	20.6392449	18.86052752	18.3521209	18.31202906	20.40045904	20.61863947	14.16094173	14.77507435	23.86535891	20.85323632	18.83134648	18.99024598	17.67136928	18.1908381	20.38565469	21.56696517	22.46326501	22.61389928	
Algeria	DZA	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																		35.99900953	37.40504226	39.82103361	42.1513635	39.69376128	38.14144197	38.65714465	31.86995953	30.17129138	22.70263122	22.41328588	18.43004503	18.39807421	25.11013018	34.65905437														54.55032924	56.70854038	57.68150719	57.89154836	47.72971878	49.98542	49.00996067	48.08090584	46.38041303	44.13877566	36.80385887	35.52823676	
East Asia & Pacific (excluding high income)	EAP	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																							26.27109148	28.38720281	29.77580574	30.16661806	30.34825703	32.52800746	33.52364958	33.07382284	33.77618771	34.86518492	36.39153767	36.01686059	36.80724647	35.4515994	35.19763903	35.24203563	36.64664914	34.18266727	34.89305107	36.19122662	36.81765686	40.27108305	42.17691234	43.36345503	45.40033305	46.59432078	46.43109476	46.68589488	47.62981212	46.41325737	46.3809416	45.97087078	46.54356161	45.8969769	44.08269423	
Early-demographic dividend	EAR	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																	38.4309133	34.26013357	29.45541646	30.38456549	34.83591374	25.7819538	22.49246025	22.6177317	22.0756511	20.54422896	18.42741025	20.93471398	20.58848759	21.0825115	22.23503804	20.16131648	20.00676688	19.73573068	20.64110964	21.79550954	22.02110775	22.34768242	21.75967284	22.36523351	23.40981306	22.21188049	23.18496377	25.19526446	26.75583843	28.8605923	30.02675459	30.76141619	30.24800953	27.63715666	29.55085802	29.5994991	28.63649978	27.37711239	26.83130297	26.13387855	26.16367921	
East Asia & Pacific	EAS	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																					32.46829361	32.40388519	32.18118881	30.53689573	30.78329528	30.16300912	29.92106154	31.1215316	32.18051308	32.79067133	34.36507212	35.90528668	35.70525831	35.08235929	36.48177574	36.08898178	36.34316142	37.31675837	38.38635895	39.01051993	37.65359724	
